domain_name,Carleton_response_addresses,Google_response_addresses,TTL_Carleton,TTL_Google
aliyun.com.,106.11.253.83;106.11.249.99;106.11.172.9;140.205.60.46;140.205.135.3;106.11.248.146,106.11.249.99;140.205.60.46;106.11.172.9;106.11.248.146;106.11.253.83;140.205.135.3,300,300
msauth.net.,,,-1,-1
outbrain.com.,151.101.66.132;151.101.130.132;151.101.194.132;151.101.2.132,151.101.130.132;151.101.194.132;151.101.66.132;151.101.2.132,300,300
footprints-pa.googleapis.com.,172.217.4.74;142.250.190.74;142.250.191.202;142.250.190.106;142.250.191.170;142.250.191.106;142.250.190.138;142.251.34.234;142.250.190.42;142.251.32.10;172.217.1.106;172.217.2.42;172.217.4.202;142.250.190.10;142.250.191.138;142.250.191.234,142.251.32.10;172.217.1.106;142.250.190.74;172.217.2.42;142.250.190.10;142.250.190.42;142.250.191.138;142.250.191.202;142.250.191.106;142.250.191.170;142.250.191.234;142.250.190.138;172.217.4.202;142.250.190.106;142.251.34.234,300,300
nr-data.net.,,,-1,-1
google.cn.,142.251.32.3,172.217.4.67,300,300
chromewebstore.googleapis.com.,172.217.2.42;142.250.190.10;172.217.1.106;142.250.190.138;142.250.190.74;142.250.191.138;142.250.191.202;142.250.191.234;172.217.4.74;142.250.190.42;172.217.4.42;142.250.190.106;142.250.191.170;142.250.191.106;172.217.5.10;172.217.4.202,142.250.191.138;142.250.191.234;142.250.191.202;172.217.4.74;172.217.1.106;142.250.191.170;142.251.32.10;172.217.5.10;142.250.191.106;142.250.190.10;142.250.190.138;172.217.4.42;142.250.190.42;142.250.190.74;172.217.2.42;172.217.4.202,170,300
launchdarkly.com.,15.197.167.90;3.33.186.135,15.197.167.90;3.33.186.135,60,46
oneget.org.,104.43.254.102,104.43.254.102,3600,2708
passwordsleakcheck-pa.googleapis.com.,142.251.34.234;142.250.190.74;142.251.32.10;172.217.1.106;172.217.4.42;142.250.190.42;142.250.190.138;172.217.2.42;172.217.4.74;142.250.190.106;142.250.191.234;142.250.191.106;172.217.5.10;172.217.4.202;142.250.190.10;142.250.191.202,142.250.190.42;142.250.190.138;142.250.191.138;172.217.4.202;142.250.190.74;172.217.1.106;172.217.2.42;142.251.32.10;142.250.191.170;142.250.190.10;142.250.190.106;172.217.4.74;142.250.191.106;142.250.191.202;142.250.191.234,92,300
android-context-data.googleapis.com.,142.250.191.234;172.217.1.106;142.251.32.10;142.250.190.42;172.217.4.202;142.250.191.170;142.250.191.106;172.217.4.74;172.217.4.42;142.250.190.106;142.250.190.10;172.217.2.42;142.250.190.138;142.250.190.74;142.250.191.202;142.250.191.138,142.250.190.138;172.217.5.10;142.250.191.170;142.250.191.202;172.217.4.74;142.250.191.106;172.217.1.106;142.250.191.138;172.217.2.42;142.250.191.234;142.250.190.74;142.250.190.42;142.251.32.10;142.250.190.106;142.250.190.10,48,300
browser-intake-datadoghq.com.,3.233.158.112;3.233.158.111;3.233.158.114,3.233.158.111;3.233.158.112;3.233.158.114,41,18
nearbysharing-pa.googleapis.com.,142.250.191.138;142.250.191.170;172.217.1.106;172.217.2.42;142.250.190.138;142.250.191.106;142.250.190.74;142.250.191.202;142.250.190.106;172.217.5.10;142.250.190.10;142.250.191.234;172.217.4.74;142.250.190.42;172.217.4.202;172.217.4.42,172.217.4.42;142.250.190.74;172.217.1.106;172.217.2.42;142.250.191.234;142.250.191.202;142.250.190.106;142.250.190.138;172.217.4.202;142.250.190.42;172.217.4.74;142.250.191.106;142.251.32.10;142.251.34.234;142.250.191.138;142.250.190.10,300,300
media.net.,23.34.124.26,23.34.124.26,5,5
id5-sync.com.,141.95.98.64;162.19.138.116;162.19.138.83;162.19.138.120;162.19.138.82;162.19.138.119;162.19.138.117;57.129.85.132;141.95.98.65;141.95.33.120;162.19.138.118,162.19.138.116;162.19.138.83;162.19.138.82;57.129.85.132;162.19.138.118;141.95.98.65;162.19.138.117;162.19.138.120;141.95.98.64;141.95.33.120;162.19.138.119,144,300
criteo.net.,,,-1,-1
line-scdn.net.,,,-1,-1
miui.com.,124.251.100.193,124.251.100.193,600,600
onesignal.com.,104.17.111.223;104.16.160.145,104.16.160.145;104.17.111.223,300,300
qq.com.cn.,0.0.0.1,0.0.0.1,600,600
opera.com.,185.26.182.103;185.26.182.104,185.26.182.103;185.26.182.104,600,361
adjust.com.,76.76.21.21,76.76.21.21,3600,3600
teads.tv.,34.255.42.71;3.251.49.224;52.16.157.210,34.255.42.71;3.251.49.224;52.16.157.210,60,60
mtgglobals.com.,,,-1,-1
crwdcntrl.net.,199.233.57.19;199.233.57.18;199.233.57.21;199.233.57.17;199.233.57.16;199.233.57.20,199.233.57.21;199.233.57.18;199.233.57.19;199.233.57.20;199.233.57.17;199.233.57.16,16365,15836
allawnos.com.,,,-1,-1
rlcdn.com.,,,-1,-1
shopee.io.,,,-1,-1
alicdn.com.,140.205.77.240;115.238.23.240,140.205.77.240;115.238.23.240,300,300
deviceintegritytokens-pa.googleapis.com.,172.217.4.42;142.251.32.10;142.250.190.138;142.250.190.42;142.250.190.74;142.250.190.106;142.250.191.170;172.217.4.74;172.217.5.10;142.250.191.202;142.250.191.138;172.217.1.106;172.217.2.42;142.250.191.234;142.251.34.234;142.250.191.106,142.250.190.74;142.250.191.202;172.217.4.202;142.250.190.10;142.250.191.234;142.250.191.106;172.217.2.42;172.217.1.106;172.217.4.42;142.250.190.106;142.250.191.138;172.217.5.10;142.250.191.170;142.251.32.10;142.251.34.234;142.250.190.42,268,300
360yield.com.,52.215.195.113;52.49.186.77;52.51.2.235,52.49.186.77;52.215.195.113;52.51.2.235,60,60
temu.com.,151.101.66.58;151.101.2.58,151.101.2.58;151.101.66.58,300,165
icloud-content.com.,17.253.142.4,17.253.142.4,3600,2237
msftstatic.com.,204.79.197.200,204.79.197.200,3600,2919
imasdk.googleapis.com.,142.250.190.106,142.250.191.202,300,300
moloco.com.,99.83.190.102;75.2.70.75,99.83.190.102;75.2.70.75,300,300
appsflyer.com.,54.224.150.238;52.21.86.112,54.224.150.238;52.21.86.112,60,26
adform.net.,37.157.5.86;37.157.5.49,37.157.2.235;37.157.2.14,300,300
yandex.net.,213.180.204.242,213.180.204.242,600,600
garena.com.,148.222.71.12,148.222.71.12,600,600
1rx.io.,,,-1,-1
userlocation.googleapis.com.,142.250.191.170;142.251.34.234;172.217.2.42;142.250.191.202;142.250.191.106;142.250.190.138;172.217.4.74;142.250.191.138;142.250.191.234;142.251.32.10;172.217.5.10;172.217.1.106;142.250.190.74;142.250.190.106;142.250.190.42;142.250.190.10,142.251.34.234;172.217.4.74;142.250.190.42;142.250.191.234;172.217.4.202;142.250.191.202;142.250.191.138;142.250.190.74;142.250.190.106;172.217.1.106;142.250.190.10;172.217.2.42;142.250.191.170;142.251.32.10;142.250.191.106;172.217.4.42,11,300
safebrowsingohttpgateway.googleapis.com.,142.250.190.74;172.217.4.42;142.250.190.138;172.217.4.202;142.250.190.10;142.250.191.234;172.217.1.106;142.251.32.10;172.217.2.42;142.250.191.202;172.217.4.74;142.250.191.170;142.250.190.42;142.250.191.138;142.251.34.234;142.250.190.106,142.250.190.10;142.250.190.138;142.250.191.202;172.217.1.106;142.251.32.10;172.217.4.202;172.217.2.42;142.250.191.106;142.250.191.138;172.217.4.74;142.250.190.74;142.250.190.42;142.251.34.234;142.250.190.106;142.250.191.234;142.250.191.170,263,300
root-servers.net.,,,-1,-1
shopee.sg.,147.136.140.56,147.136.172.151,60,60
webex.com.,144.196.130.69,144.196.130.69,300,14
wbx2.com.,13.59.223.204;13.59.223.207;13.59.223.205;13.59.223.206,13.59.223.204;13.59.223.205;13.59.223.206;13.59.223.207,60,34
bugsnag.com.,18.160.181.69;18.160.181.78;18.160.181.118;18.160.181.123,18.160.181.118;18.160.181.78;18.160.181.123;18.160.181.69,60,60
quantserve.com.,44.230.238.127;54.214.172.129;52.27.85.137,54.214.172.129;52.27.85.137;44.230.238.127,60,60
s-microsoft.com.,,,-1,-1
tapad.com.,34.96.66.233,34.96.66.233,300,300
alipay.com.,110.76.8.255;110.75.130.45,110.75.130.45;110.76.8.255,600,532
go-mpulse.net.,,,-1,-1
